,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Console,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
1,Console,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
2,Console,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
3,Console,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
4,Handheld,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
5,Handheld,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
6,Handheld,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
7,Console,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
8,Console,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
9,Console,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
10,Handheld,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
11,Handheld,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
12,Handheld,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
13,Console,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
14,Console,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
15,Console,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
16,Console,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
17,Console,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
18,Handheld,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
19,Handheld,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
20,Handheld,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
21,Console,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
22,Console,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
23,Console,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
24,Handheld,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
25,Handheld,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
26,Handheld,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
27,Console,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
28,Console,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
29,Handheld,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
30,Console,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
31,Handheld,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
32,Console,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
33,Console,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
34,Console,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
35,Console,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
36,Console,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
37,Console,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
38,Console,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
39,Console,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
40,Handheld,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
41,Handheld,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
42,Console,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
43,Handheld,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
44,Console,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
45,Console,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
46,Console,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
47,Handheld,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
48,Handheld,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
49,Console,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
50,Console,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
51,Handheld,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
